Entity,Code,Year,Annual CO₂ emissions,"Agriculture, forestry, and fishing, value added (% of GDP)",Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)",Market capitalization of listed domestic companies (% of GDP),Merchandise trade (% of GDP),Military expenditure (% of GDP),"Population, total","Revenue, excluding grants (% of GDP)","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
China,CHN,2022,11396777000.0,7.29999943211008,20.6770017470271,17963171479205.3,2.98908408603653,12720.2163182363,43.2893092395829,17.4668162873967,39.9241121258135,2.24897445406873,63.84922675418,35.1256124638361,1.59538074333145,1412175000.0,,
United States,USA,2022,5057303600.0,,11.7731183936917,25439700000000.0,1.93563459187081,76329.5822652029,22.1441487124455,15.5904550761212,,7.04072309182631,158.405878685676,21.3842812611784,3.45491979773439,333287557.0,19.7997118676714,
India,IND,2022,2829644300.0,16.7308355142151,22.7868820072667,3416645826052.87,7.23969328081449,2410.88802070689,31.0415815107974,26.4428200967021,25.6556856497631,8.22586949859702,105.468422137013,34.3565315154745,2.42522711696615,1417173173.0,,
Russia,RUS,2022,1652177300.0,3.90141771321053,28.1889031982231,2240422427458.58,-2.06971152527731,15270.7060546875,22.2854338509025,15.5852112162007,32.7935315983555,15.8047098978759,23.6609098133928,38.7730898134861,4.05631633246717,144236933.0,,
Japan,JPN,2022,1053797800.0,1.01759821736288,21.5417231170208,4256410760723.75,0.954736937781391,34017.2718075024,26.587638850898,25.3020090221706,26.9164340611327,0.333979877221765,126.408745829905,38.6278978328781,1.07773443701688,125124989.0,,
Indonesia,IDN,2022,728883260.0,12.3996592154305,24.4924493728078,1319100220407.72,5.30859500543608,4787.99930771921,29.7453355119714,20.9008560311697,41.4292959518952,9.56784436110829,46.2655058772841,40.1353886391105,0.702587599419717,275501339.0,,
Iran,IRN,2022,690635260.0,12.7653151216866,26.8158865548081,413493207349.265,3.77663140152906,4669.57137993878,38.0015908266913,24.7816202562159,39.8556929760804,50.585248062505,390.101873822926,32.0793661521888,2.5858676814208,88550570.0,,
Germany,DEU,2022,665604700.0,0.920163742871072,50.9239297257281,4082469490797.68,1.80620896724351,48717.9911402128,25.0286962734826,48.9564100381499,26.9021953616504,5.26832542370153,46.2872764697814,79.0778475448989,1.39005500959653,83797985.0,,
Saudi Arabia,SAU,2022,662549400.0,2.40492260511086,40.2212744390156,1108571517285.38,8.68073610168936,30447.8837074473,26.427405636263,23.2923962207993,53.2332044159841,16.6869113316883,238.01722386493,54.2194157641584,7.42273250452989,36408820.0,,
South Korea,KOR,2022,600999360.0,1.64164716763395,48.2717642210409,1673916469026.56,2.61267219187226,32422.5744864287,33.1813562926262,48.2646450676456,31.7263012565745,1.27552257409207,98.2431089262381,84.5296062367346,2.7177456962085,51628117.0,,
