year,country,region,tree_cover_loss,co2_emissions
2001,Bolivia,Amazon,1099451,8742807
2002,Bolivia,Amazon,1398345,10403424
2003,Bolivia,Amazon,1289790,10968004
2004,Bolivia,Amazon,1581125,11031935
2005,Bolivia,Amazon,1960181,12312617
2006,Bolivia,Amazon,1688847,12332331
2007,Bolivia,Amazon,1492762,12695380
2008,Bolivia,Amazon,2853129,12965221
2009,Bolivia,Amazon,1737681,13538143
2010,Bolivia,Amazon,3527304,14718776
2011,Bolivia,Amazon,2565829,15948673
2012,Bolivia,Amazon,2140548,17535340
2013,Bolivia,Amazon,1381359,17769010
2014,Bolivia,Amazon,1994797,19887892
2015,Bolivia,Amazon,1268106,19886526
2016,Bolivia,Amazon,3622914,21239286
2017,Bolivia,Amazon,3585115,22171246
2018,Bolivia,Amazon,2312143,22501642
2019,Bolivia,Amazon,6452845,22605112
2020,Bolivia,Amazon,3352568,18326306
2021,Bolivia,Amazon,4285678,21725994
2022,Bolivia,Amazon,4637410,21493740
2001,Brazil,Amazon,21424642,346165980
2002,Brazil,Amazon,27492212,347765020
2003,Brazil,Amazon,25409164,344645000
2004,Brazil,Amazon,30234280,361434000
2005,Brazil,Amazon,27409899,364371000
2006,Brazil,Amazon,22578872,368871000
2007,Brazil,Amazon,20458586,390573000
2008,Brazil,Amazon,19152320,412638000
2009,Brazil,Amazon,14164363,389775000
2010,Brazil,Amazon,21002504,440269020
2011,Brazil,Amazon,15061467,462580000
2012,Brazil,Amazon,22951322,498309000
2013,Brazil,Amazon,15669500,532418020
2014,Brazil,Amazon,21682221,557901000
2015,Brazil,Amazon,17906407,529353020
2016,Brazil,Amazon,43165380,492748000
2017,Brazil,Amazon,36417618,497121380
2018,Brazil,Amazon,23866802,477998620
2019,Brazil,Amazon,21875110,473464400
2020,Brazil,Amazon,26592482,444504320
2021,Brazil,Amazon,24295487,497206340
2022,Brazil,Amazon,26825143,483477300
2001,Cameroon,Congo Basin,298584,5562424
2002,Cameroon,Congo Basin,224215,5350642
2003,Cameroon,Congo Basin,191946,5704622
2004,Cameroon,Congo Basin,176359,5698455
2005,Cameroon,Congo Basin,193644,5423858
2006,Cameroon,Congo Basin,294171,5485919
2007,Cameroon,Congo Basin,376847,7409373
2008,Cameroon,Congo Basin,292453,7320619
2009,Cameroon,Congo Basin,286585,8554963
2010,Cameroon,Congo Basin,469788,8383322
2011,Cameroon,Congo Basin,217296,8105014
2012,Cameroon,Congo Basin,398334,7603374
2013,Cameroon,Congo Basin,666536,7849517
2014,Cameroon,Congo Basin,1386859,8771510
2015,Cameroon,Congo Basin,601146,9850663
2016,Cameroon,Congo Basin,877884,9958010
2017,Cameroon,Congo Basin,1398322,9578064
2018,Cameroon,Congo Basin,917564,9645489
2019,Cameroon,Congo Basin,915967,9591827
2020,Cameroon,Congo Basin,1540399,9701611
2021,Cameroon,Congo Basin,1272583,10297741
2022,Cameroon,Congo Basin,1127835,9572651
2001,Central African Republic,Congo Basin,235762,245488
2002,Central African Republic,Congo Basin,261397,241824
2003,Central African Republic,Congo Basin,104573,223504
2004,Central African Republic,Congo Basin,113252,219840
2005,Central African Republic,Congo Basin,217739,216176
2006,Central African Republic,Congo Basin,425179,227168
