Entity,Year,Annual CO₂ emissions
Afghanistan,2017,9867969.0
Afghanistan,2018,10818048.0
Afghanistan,2019,11081621.0
Afghanistan,2020,11888066.0
Afghanistan,2021,12283148.0
Afghanistan,2022,12147948.0
Albania,2017,5293048.0
Albania,2018,4894953.0
Albania,2019,4826944.0
Albania,2020,5018921.0
Albania,2021,4903652.0
Albania,2022,4954730.0
Algeria,2017,165089600.0
Algeria,2018,171276020.0
Algeria,2019,178577220.0
Algeria,2020,169892770.0
Algeria,2021,180225200.0
Algeria,2022,176345140.0
Andorra,2017,465328.0
Andorra,2018,494640.0
Andorra,2019,483648.0
Andorra,2020,373728.0
Andorra,2021,363046.0
Andorra,2022,368645.0
Angola,2017,22617028.0
Angola,2018,21434458.0
Angola,2019,19222174.0
Angola,2020,16764786.0
Angola,2021,17505714.0
Angola,2022,16070269.0
Anguilla,2017,128240.01
Anguilla,2018,131904.0
Anguilla,2019,146560.0
Anguilla,2020,142896.0
Anguilla,2021,137698.0
Anguilla,2022,138967.0
Antigua and Barbuda,2017,604560.0
Antigua and Barbuda,2018,615552.0
Antigua and Barbuda,2019,641200.0
Antigua and Barbuda,2020,619216.0
Antigua and Barbuda,2021,596693.0
Antigua and Barbuda,2022,602192.0
Argentina,2017,186898880.0
Argentina,2018,180599310.0
Argentina,2019,178511620.0
Argentina,2020,166879580.0
Argentina,2021,189744130.0
Argentina,2022,192864430.0
Armenia,2017,5540153.0
Armenia,2018,5825786.0
Armenia,2019,6284110.0
Armenia,2020,6799022.0
Armenia,2021,7064143.0
Armenia,2022,6407760.0
Aruba,2017,890352.0
Aruba,2018,872032.0
Aruba,2019,890352.0
Aruba,2020,890352.0
Aruba,2021,857967.0
Aruba,2022,865874.0
Australia,2017,413655460.0
Australia,2018,415350720.0
Australia,2019,415811260.0
Australia,2020,396685200.0
Australia,2021,386606940.0
Australia,2022,392279260.0
Austria,2017,69608664.0
Austria,2018,66571892.0
Austria,2019,67956160.0
Austria,2020,62121252.0
Austria,2021,66018630.0
Austria,2022,61488424.0
Azerbaijan,2017,34607044.0
Azerbaijan,2018,34575828.0
Azerbaijan,2019,37737896.0
Azerbaijan,2020,36149228.0
