Scenario,Year,CO2 Emissions,Temperature Change
SSP1-26,2020,39804.0134329136,1.218161
SSP1-26,2030,34734.4236538735,1.472536
SSP1-26,2040,26509.1826883491,1.6545538
SSP1-26,2050,17963.5391054859,1.7593171
SSP1-26,2060,10527.978660351,1.811741
SSP1-26,2070,4476.32832268896,1.8352149
SSP1-26,2080,-3285.04327111752,1.8347512
SSP1-26,2090,-8385.1829652905,1.8036412
SSP1-26,2100,-8617.78621970579,1.7610809
SSP2-45,2020,40647.5298965057,1.2422663
SSP2-45,2030,43476.0625524667,1.4859884
SSP2-45,2040,44252.9000312976,1.7431921
SSP2-45,2050,43462.1900425297,1.9664936
SSP2-45,2060,40196.4848294856,2.1541523
SSP2-45,2070,35235.4337320201,2.3176377
SSP2-45,2080,26838.373445575,2.4586262
SSP2-45,2090,16324.3915616794,2.5667237
SSP2-45,2100,9682.85879405517,2.6290866
SSP5-Baseline,2020,43712.3485645221,1.2658011
SSP5-Baseline,2030,55296.5832256574,1.6029602
SSP5-Baseline,2040,68775.6982044149,2.0127497
SSP5-Baseline,2050,83298.2199421344,2.48049
SSP5-Baseline,2060,100338.606181868,2.9755038
SSP5-Baseline,2070,116805.249302524,3.5037949
SSP5-Baseline,2080,129647.035019421,4.0499
SSP5-Baseline,2090,130576.238819421,4.5756954
SSP5-Baseline,2100,126287.309719421,5.0519665
